service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1062X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
1063J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
1064V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
1065S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
1066D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
1067L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
1068M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
1069X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
1070J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
1071V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
1072S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
1073D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
1074L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
1075M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
1076X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
1077J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
1078V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
1079S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
1080D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
1081L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
1082M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
1083X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
1084J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
1085V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
1086S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
1087D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
1088L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
1089M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
1090X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
1091J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
1092V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
2062X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
2063J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
2064V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
2065S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
2066D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
2067L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
2068M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
2069X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
2070J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
2071V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
2072S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
2073D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
2074L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
2075M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
2076X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
2077J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
2078V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
